TITLE,ITEM_NUM,BIDDER,PRICE
"AGGREGATES, HOT MIX ASPHALT(HWYS)",9,TILCON NEW YORK INC,38.2
"AGGREGATES, HOT MIX ASPHALT(HWYS)",13,NEW YORK SAND & STONE LLC,36.76
"AGGREGATES, HOT MIX ASPHALT(HWYS)",13,TILCON NEW YORK INC,39.71
"AGGREGATES, HOT MIX ASPHALT(HWYS)",14,NEW YORK SAND & STONE LLC,37.45
"AGGREGATES, HOT MIX ASPHALT(HWYS)",14,TILCON NEW YORK INC,38.47
"AGGREGATES, HOT MIX ASPHALT(HWYS)",15,NEW YORK SAND & STONE LLC,38.21
"AGGREGATES, HOT MIX ASPHALT(HWYS)",15,TILCON NEW YORK INC,39.27
"AGGREGATES, HOT MIX ASPHALT(HWYS)",16,NEW YORK SAND & STONE LLC,38.64
AWD POLICE SEDAN - NYPD,1,BEYER OF MORRISTOWN LLC,27600
AWD POLICE SEDAN - NYPD,1,MAJOR WORLD CDJR LLC DBA MAJOR,26563
AWD POLICE SEDAN - NYPD,1,ROBERT GREEN AUTO & TRUCK INC,25962
AWD POLICE SEDAN - NYPD,10,BEYER OF MORRISTOWN LLC,5061
AWD POLICE SEDAN - NYPD,10,MAJOR WORLD CDJR LLC DBA MAJOR,3500
AWD POLICE SEDAN - NYPD,10,ROBERT GREEN AUTO & TRUCK INC,4415
AWD POLICE SEDAN - NYPD,11,BEYER OF MORRISTOWN LLC,924
AWD POLICE SEDAN - NYPD,11,MAJOR WORLD CDJR LLC DBA MAJOR,536
AWD POLICE SEDAN - NYPD,11,ROBERT GREEN AUTO & TRUCK INC,667
AWD POLICE SEDAN - NYPD,12,BEYER OF MORRISTOWN LLC,360
AWD POLICE SEDAN - NYPD,12,MAJOR WORLD CDJR LLC DBA MAJOR,210
AWD POLICE SEDAN - NYPD,12,ROBERT GREEN AUTO & TRUCK INC,321
AWD POLICE SEDAN - NYPD,13,BEYER OF MORRISTOWN LLC,465
AWD POLICE SEDAN - NYPD,13,MAJOR WORLD CDJR LLC DBA MAJOR,400
AWD POLICE SEDAN - NYPD,13,ROBERT GREEN AUTO & TRUCK INC,414
AWD POLICE SEDAN - NYPD,14,BEYER OF MORRISTOWN LLC,271
AWD POLICE SEDAN - NYPD,14,MAJOR WORLD CDJR LLC DBA MAJOR,350
AWD POLICE SEDAN - NYPD,14,ROBERT GREEN AUTO & TRUCK INC,166
AWD POLICE SEDAN - NYPD,15,BEYER OF MORRISTOWN LLC,92
AWD POLICE SEDAN - NYPD,15,MAJOR WORLD CDJR LLC DBA MAJOR,100
AWD POLICE SEDAN - NYPD,15,ROBERT GREEN AUTO & TRUCK INC,75
AWD POLICE SEDAN - NYPD,16,BEYER OF MORRISTOWN LLC,564
AWD POLICE SEDAN - NYPD,16,MAJOR WORLD CDJR LLC DBA MAJOR,471
AWD POLICE SEDAN - NYPD,16,ROBERT GREEN AUTO & TRUCK INC,440
AWD POLICE SEDAN - NYPD,17,MAJOR WORLD CDJR LLC DBA MAJOR,541
AWD POLICE SEDAN - NYPD,17,ROBERT GREEN AUTO & TRUCK INC,870
AWD POLICE SEDAN - NYPD,18,BEYER OF MORRISTOWN LLC,7454
AWD POLICE SEDAN - NYPD,18,MAJOR WORLD CDJR LLC DBA MAJOR,6011
AWD POLICE SEDAN - NYPD,18,ROBERT GREEN AUTO & TRUCK INC,5931
AWD POLICE SEDAN - NYPD,19,BEYER OF MORRISTOWN LLC,2435
AWD POLICE SEDAN - NYPD,19,MAJOR WORLD CDJR LLC DBA MAJOR,2935
AWD POLICE SEDAN - NYPD,19,ROBERT GREEN AUTO & TRUCK INC,2635
AWD POLICE SEDAN - NYPD,2,BEYER OF MORRISTOWN LLC,11509
AWD POLICE SEDAN - NYPD,2,MAJOR WORLD CDJR LLC DBA MAJOR,7816
AWD POLICE SEDAN - NYPD,2,ROBERT GREEN AUTO & TRUCK INC,12578
AWD POLICE SEDAN - NYPD,20,BEYER OF MORRISTOWN LLC,107
AWD POLICE SEDAN - NYPD,20,MAJOR WORLD CDJR LLC DBA MAJOR,120
AWD POLICE SEDAN - NYPD,3,BEYER OF MORRISTOWN LLC,6105
AWD POLICE SEDAN - NYPD,3,MAJOR WORLD CDJR LLC DBA MAJOR,3247
AWD POLICE SEDAN - NYPD,3,ROBERT GREEN AUTO & TRUCK INC,5781
AWD POLICE SEDAN - NYPD,4,BEYER OF MORRISTOWN LLC,16849
AWD POLICE SEDAN - NYPD,4,MAJOR WORLD CDJR LLC DBA MAJOR,15301
AWD POLICE SEDAN - NYPD,4,ROBERT GREEN AUTO & TRUCK INC,17732
AWD POLICE SEDAN - NYPD,5,BEYER OF MORRISTOWN LLC,6112
AWD POLICE SEDAN - NYPD,5,MAJOR WORLD CDJR LLC DBA MAJOR,6490
AWD POLICE SEDAN - NYPD,5,ROBERT GREEN AUTO & TRUCK INC,7259
AWD POLICE SEDAN - NYPD,6,BEYER OF MORRISTOWN LLC,7887
AWD POLICE SEDAN - NYPD,6,MAJOR WORLD CDJR LLC DBA MAJOR,7580
AWD POLICE SEDAN - NYPD,6,ROBERT GREEN AUTO & TRUCK INC,8985
AWD POLICE SEDAN - NYPD,7,BEYER OF MORRISTOWN LLC,1317
AWD POLICE SEDAN - NYPD,7,ROBERT GREEN AUTO & TRUCK INC,50
AWD POLICE SEDAN - NYPD,8,BEYER OF MORRISTOWN LLC,553
AWD POLICE SEDAN - NYPD,8,MAJOR WORLD CDJR LLC DBA MAJOR,356
AWD POLICE SEDAN - NYPD,8,ROBERT GREEN AUTO & TRUCK INC,476
AWD POLICE SEDAN - NYPD,9,BEYER OF MORRISTOWN LLC,750
AWD POLICE SEDAN - NYPD,9,MAJOR WORLD CDJR LLC DBA MAJOR,635
AWD POLICE SEDAN - NYPD,9,ROBERT GREEN AUTO & TRUCK INC,556
